procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1  99584 170804      0 15764396    5    4 123611     9 8723 51100 24  6 60 10  0
 3  0  99328 171356      0 15763944    9    0 121851     2 11796 53942 20  5 66  9  0
 3  0  99328 165296      0 15770480    0    0 126739    12 11979 56048 21  5 64 10  0
 0  1  99328 167296      0 15768120   18   18 101555    21 9643 23028 27  6 56 11  0
 0  3  99328 170520      0 15764264   17    0 131153     7 15798 48774 19  5 67  9  0
 3  0  99072 173752      0 15759716   56    1 133951     4 10813 50658 21  4 67  8  0
 3  0  99072 155760      0 15789032   19   12 148701    19 8982 39715 19  5 66 10  0
 3  0  99072 175624      0 15758064    0    1 84911     1 12592 47355 19  5 70  6  0
 0  1  99328 170224      0 15764232   19   11 89817    12 18221 69003 21  4 71  3  0
 1  1 100352 168300      0 15766328   11   65 121557    66 12738 58891 20  4 73  3  0
 3  0  98304 162572      0 15772100  121   25 105324    29 12119 50246 18  6 70  5  0
 0  1  99584 173964      0 15760768    9   87 102746    91 14442 63711 20  4 72  4  0
 3  0  99584 188272      0 15745048   30    0 105760    10 14344 65522 21  4 72  3  0
 3  0  98816 159080      0 15709352   29   22 120640    22 10215 27847 12  7 63 18  0
 0  3 114432 167836      0 15726664   10 1051 145139  1062 12900 24311 10  7 49 34  0
 2  0  99328 171100      0 15631160 1572  510 52893 18937 6424 10706 14  3 71 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  99584 172288      0 15627480   36    8  6946    19 3443 4742 25  4 70  1  0
 3  0  99584 326992      0 15528208    3    0     5     0 1535  648 20  2 77  0  0
 2  0  99584 180276      0 15627436    0    0     0    13 2818 4742 27  4 69  0  0
 2  1  98816 175440      0 15762900    8    7 54618     9 3371 5682 17  3 75  6  0
 0  3 100096 174292      0 15759712   30   91 156066    99 8605 9855 10  6 64 20  0
 3  1 104960 172548      0 15759200  486  660 122544   663 11710 13200 16  7 54 23  0
 0  0 112384 235532      0 15767984   33  545 31630   552 8984 7542 30  9 53  8  0
 0  0  99072 215028      0 15792248  902  150 68391   152 3912 3800 10  5 75 10  0
